# bin	classification	reason	lineage	lineage scores (f: 0.30)
rosella_refined_0_10.fna	taxid assigned (1/2)	based on 241/270 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.36;0.35;0.35;0.35
rosella_refined_0_10.fna	taxid assigned (2/2)	based on 241/270 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales	1.00;0.63;0.51;0.45;0.43
rosella_refined_0_101.fna	taxid assigned	based on 218/248 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__SW-7-71-33;g__SW-7-71-33;s__SW-7-71-33 sp003022865	1.00;0.93;0.92;0.92;0.92;0.39;0.39;0.31
rosella_refined_0_103.fna	taxid assigned	based on 230/236 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Magnetovibrionaceae	1.00;0.98;0.67;0.62;0.49;0.41
rosella_refined_0_104.fna	taxid assigned	based on 252/380 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter immobilis_F	1.00;0.89;0.70;0.70;0.70;0.65;0.65;0.38
rosella_refined_0_105.fna	taxid assigned	based on 229/244 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobaculum;s__Halobaculum sp018609965	1.00;1.00;0.99;0.99;0.99;0.69;0.52;0.48
rosella_refined_0_106.fna	taxid assigned	based on 340/386 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae	1.00;0.88;0.86;0.86;0.86;0.41
rosella_refined_0_108.fna	taxid assigned	based on 263/274 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae*	1.00;0.99;0.88;0.88;0.65;0.65
rosella_refined_0_11.fna	taxid assigned	based on 397/424 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Gracilimonas	1.00;1.00;0.97;0.93;0.92;0.90;0.72
rosella_refined_0_110.fna	taxid assigned	based on 310/332 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas	1.00;0.76;0.66;0.64;0.39;0.38;0.35
rosella_refined_0_111.fna	taxid assigned (1/2)	based on 169/268 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.44;0.40;0.38;0.38
rosella_refined_0_111.fna	taxid assigned (2/2)	based on 169/268 ORFs	root;d__Bacteria	1.00;0.51
rosella_refined_0_113.fna	taxid assigned (1/2)	based on 160/273 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.68;0.67;0.67;0.67
rosella_refined_0_113.fna	taxid assigned (2/2)	based on 160/273 ORFs	root;d__Bacteria	1.00;0.31
rosella_refined_0_114.fna	taxid assigned	based on 333/379 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__SW-7-71-33;g__SW-7-71-33;s__SW-7-71-33 sp003022865	1.00;0.99;0.99;0.99;0.99;0.45;0.45;0.40
rosella_refined_0_116.fna	taxid assigned	based on 340/350 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas	1.00;0.99;0.87;0.87;0.60;0.49;0.47
rosella_refined_0_117.fna	taxid assigned	based on 248/256 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas	1.00;1.00;0.97;0.97;0.71;0.68;0.65
rosella_refined_0_118.fna	taxid assigned	based on 194/254 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.88;0.87;0.87;0.87
rosella_refined_0_119.fna	taxid assigned	based on 645/695 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halosegnis	1.00;0.86;0.86;0.86;0.86;0.51;0.37
