Bin Status ORF_info Taxonomy Support
rosella_refined_0_179.fna	taxid assigned	based on 208/218 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter	1.00;1.00;0.99;0.99;0.99;0.99;0.98
rosella_refined_0_200.fna	taxid assigned	based on 303/313 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter	1.00;1.00;0.98;0.98;0.98;0.98;0.93
rosella_refined_0_224.fna	taxid assigned	based on 215/227 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter	1.00;0.99;0.98;0.98;0.98;0.98;0.96
rosella_refined_0_260.fna	taxid assigned	based on 278/288 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter	1.00;0.99;0.99;0.99;0.99;0.99;0.96
rosella_refined_0_279.fna	taxid assigned	based on 232/241 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__Salinibacter sp913056185	1.00;0.94;0.91;0.91;0.91;0.89;0.83;0.30
rosella_refined_0_369.fna	taxid assigned	based on 201/216 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter	1.00;0.99;0.91;0.90;0.89;0.88;0.85
rosella_refined_0_370.fna	taxid assigned	based on 211/216 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter	1.00;1.00;1.00;1.00;1.00;1.00;1.00
rosella_refined_0_416.fna	taxid assigned (1/2)	based on 212/232 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae	1.00;1.00;0.35;0.33;0.33;0.32
rosella_refined_0_440.fna	taxid assigned (1/2)	based on 1699/1990 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__Salinibacter sp913056185	1.00;0.66;0.59;0.58;0.57;0.57;0.56;0.46
rosella_refined_0_494.fna	taxid assigned (1/2)	based on 249/273 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__Salinibacter sp913056185	1.00;0.59;0.51;0.51;0.51;0.51;0.49;0.46
rosella_refined_0_94.fna	taxid assigned	based on 182/212 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__Salinibacter sp913056185	1.00;1.00;0.92;0.91;0.91;0.90;0.88;0.74
